Switzerland,CHE,"International tourism, number of arrivals",ST.INT.ARVL,6946000.0,6730000.0,7039000.0,7185000.0,7154000.0,7821000.0,7455000.0,6868000.0,6530000.0,,7229000.0,7863000.0,8448000.0,8608000.0,8294000.0,8628000.0,8534000.0,8566000.0,8967000.0,9158000.0,9305000.0,10402000.0,11133000.0,11715000.0,11818000.0,
Channel Islands,CHI,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,3713000.0,3657000.0,3584000.0,3963000.0,4397000.0,4457000.0,4601000.0,5487000.0,6712000.0,7621000.0,6603000.0,5431000.0,
China,CHN,"International tourism, number of arrivals",ST.INT.ARVL,46387000.0,51128000.0,57588000.0,63478000.0,72796000.0,83444000.0,89013000.0,97908000.0,91662000.0,109038000.0,120292000.0,124942000.0,131873000.0,130027000.0,126476000.0,133762000.0,135423000.0,132405000.0,129078000.0,128499000.0,133820000.0,141774000.0,153260000.0,158606000.0,162538000.0,30402000.0
Cote d'Ivoire,CIV,"International tourism, number of arrivals",ST.INT.ARVL,188000.0,237000.0,274000.0,301000.0,,,,,,,,,182000.0,205000.0,231000.0,252000.0,270000.0,289000.0,380000.0,471000.0,1441000.0,1583000.0,1800000.0,1965000.0,2070000.0,668000.0
Cameroon,CMR,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,451000.0,477000.0,487000.0,498000.0,573000.0,604000.0,817000.0,783000.0,822000.0,897000.0,994000.0,1081000.0,997000.0,1021000.0,
"Congo, Dem. Rep.",COD,"International tourism, number of arrivals",ST.INT.ARVL,35000.0,37000.0,30000.0,53000.0,80000.0,103000.0,55000.0,28000.0,35000.0,36000.0,61000.0,55000.0,47000.0,50000.0,53000.0,81000.0,186000.0,167000.0,191000.0,334000.0,354000.0,351000.0,,,,
"Congo, Rep.",COG,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,199000.0,224000.0,259000.0,345000.0,229000.0,224000.0,213000.0,151000.0,158000.0,,
Colombia,COL,"International tourism, number of arrivals",ST.INT.ARVL,1433000.0,751000.0,758000.0,823000.0,725000.0,707000.0,788000.0,661000.0,668000.0,840000.0,981000.0,2096000.0,2381000.0,2545000.0,2649000.0,1701000.0,2356000.0,2434000.0,2595000.0,2866000.0,3371000.0,3675000.0,4056000.0,4397000.0,4531000.0,1396000.0
Comoros,COM,"International tourism, number of arrivals",ST.INT.ARVL,23000.0,24000.0,26000.0,27000.0,24000.0,24000.0,19399.99962,18899.99962,20600.00038,23299.99924,25899.99962,28500.0,15199.99981,14800.00019,11300.00019,15300.00019,18799.99924,22799.99924,21899.99962,22799.99924,23600.00038,26799.99924,28000.0,35900.00153,45099.99847,7000.0
Cabo Verde,CPV,"International tourism, number of arrivals",ST.INT.ARVL,28000.0,37000.0,45000.0,52000.0,67000.0,115000.0,134000.0,126000.0,150000.0,157000.0,198000.0,242000.0,267000.0,285000.0,287000.0,336000.0,428000.0,482000.0,503000.0,494000.0,520000.0,598000.0,668000.0,710000.0,758000.0,180000.0
